day,hour,da_price,rt_price,solar,flex_load,a_t,d_t,bid,rt_trade,flex_served,inv,b_ch,b_dis,e_ch,e_dis,soc_b,soc_e
1,1,11.11,-2.085,0.0,0.0962585356377,1.0,0.0,11.539621037853863,-0.7566374916771771,0.0962585300704561,-1.1767950359595402e-12,4.999999999766047,4.999999997995534,7.199999999834371,6.539621039998146,6.749999999999913,39.99999999999998
1,2,10.81,-1.06,0.0,0.1150934040795,1.0,0.0,5.000000006067878,-7.1999999976670495,4.384636330720675e-09,5.564640226953051e-09,4.99999999972093,4.999999997500128,7.199999999798929,8.737315307277737e-09,5.694444446460886,39.956188378791936
1,3,9.61,-1.155,0.0,0.1191918773688,1.0,0.0,4.999999963427422,-7.200000040484091,4.584207777493693e-09,0.11509340525846491,4.999999999726011,4.9999999616454245,7.199999999801571,1.9822727346952186e-09,4.638888893431712,46.79618836940372
1,4,9.14,0.0,0.0,0.1259271861465,1.0,0.0,1.7875938250438252e-08,-12.19999998270296,1.37710183441819e-09,0.2342852780422117,4.999999999719848,1.6455587549661652e-08,7.199999999740807,1.6792085087677962e-09,3.583333380245685,53.63618836712859
1,5,9.18,-0.8125,0.0,0.1290902888169,1.0,0.0,2.0028679904917178e-08,-12.199999981774484,2.513804829242268e-09,0.3602124628108942,4.999999999707515,1.8563471607965544e-08,7.199999999807778,1.6911387790195804e-09,8.08333336170951,60.47618836511475
1,6,9.48,-0.6825,0.0,0.1241813954049,1.0,0.0,3.2250000089940034,-8.974999992457164,2.1523358607644177e-09,0.4893027491133704,4.999999999705197,3.225000007373688,7.1999999998133335,1.840022318971492e-09,12.583333340820143,67.31618836315198
1,7,13.59,3.1725,0.0,0.1523762352951,0.0,0.5824,4.050000003633927,-1.5323999962850625,4.4969008250124173e-10,0.6134841423653931,4.999999999678975,4.050000003843704,9.9394473964545e-13,9.22996952856051e-13,13.49999999902842,74.15618836103774
1,8,14.01,11.925,0.0,0.1205426926707,1.0,0.0,7.200000012812137,7.1999999989616175,1.0922681099727182e-10,0.765860377210323,1.3576109281156717e-08,1.5569873693211717e-08,1.6758857144810731e-09,7.199999998752824,13.499999994468645,73.5737883610377
1,9,14.51,12.755,0.0,0.1105775240679,1.0,0.0,7.20000014227968,7.2000001368487565,1.0141405012347201e-10,0.8864030697713688,5.745977773197715e-09,1.452228254568936e-07,1.3978722574017467e-09,7.199999998870923,13.499999989387327,65.99484099552151
1,10,14.55,8.6325,0.0,0.1111543568894999,1.0,0.0,11.249999848912394,-0.9500001477192364,1.7539391672910634e-10,0.9969805937374724,4.999999999064407,4.049999850238394,7.199999997855299,7.199999999137542,13.499999833199961,58.415893629616896
