day,hour,da_price,rt_price,solar,flex_load,a_t,d_t,bid,rt_trade,flex_served,inv,b_ch,b_dis,e_ch,e_dis,soc_b,soc_e
1,1,11.11,-2.085,0.0,1.076828319723,1.0,0.0,11.53962123690419,-1.737206866357856,1.0768281065048377,-2.3281597447331886e-13,4.9999999985984065,4.9999999887210045,7.199999999006608,6.539621249030957,6.7499999999999325,40.0000000000001
1,2,10.81,-1.06,0.0,1.176357954717,1.0,0.0,5.000000043067544,-7.199999973397477,2.0327745631784667e-08,2.1321783301867094e-07,4.999999998335898,4.9999999860462125,7.199999998817848,5.803781505666138e-08,5.694444455715085,39.956188157971276
1,3,9.61,-1.155,0.0,1.164596241537,1.0,0.0,4.999999832439108,-7.2000001846326915,2.1076562717859596e-08,1.1763581476072102,4.999999998355419,4.999999821981663,7.199999998828884,1.1646522498292593e-08,4.638888914166001,46.79618809575591
1,4,9.14,0.0,0.0,1.215915893109,1.0,0.0,1.0345836240366828e-07,-12.199999900192923,8.541821514461354e-09,2.3409543680678335,4.999999998057088,9.532841548316393e-08,7.199999998572956,9.650391336446e-09,3.5833335549284904,53.63618808238397
1,5,9.18,-0.8125,0.0,1.231731622134,1.0,0.0,1.1555066310882929e-07,-12.199999894890883,1.4702641873297944e-08,3.5568702526352394,4.999999998270954,1.0708568764973068e-07,7.1999999988014,9.798274153998877e-09,8.083333447259545,60.47618807087007
1,6,9.48,-0.6825,0.0,1.196438696775,1.0,0.0,3.225000006798644,-8.97500000168312,1.2711243031906843e-08,4.7886018600668505,4.999999998254538,3.2249999973072945,7.199999998814065,1.0789483638871732e-08,12.583333326719435,67.31618805941753
1,7,13.59,3.1725,0.0,1.250909438937,0.0,0.5824,4.050000022092123,-1.5323999778261332,3.057808530357005e-09,5.985040544130892,4.999999998104512,4.050000023336374,4.219993489982335e-12,4.10842014112026e-12,13.499999994806933,74.15618804693361
1,8,14.01,11.925,0.0,1.184706940872,1.0,0.0,7.200000078107646,7.1999999923617715,7.549454753162944e-10,7.235949980010371,8.272517828628424e-08,9.344894908989674e-08,1.0918679450026408e-08,7.199999993311618,13.499999967171648,73.57378804693363
1,9,14.51,12.755,0.0,1.1051968836,1.0,0.0,7.200000946200521,7.200000913623843,7.315842430847418e-10,8.420656920127719,3.388321242983791e-08,9.620774013181942e-07,8.328544475341409e-09,7.199999994489577,13.49999993779204,65.99484069592575
1,10,14.55,8.6325,0.0,1.101779169486,1.0,0.0,11.249999003401424,-0.950000976764951,1.3101982999716246e-09,9.525853802996426,4.999999994590805,4.049999011014366,7.199999986957157,7.19999999507899,13.499998899311983,58.41589334121725
1,11,16.85,19.3675,0.0,1.079064696768,1.0,0.0,-8.75584469252059e-09,12.199999971869662,4.5513974163888346e-10,10.627632971172504,1.2541518887790046e-08,4.9999999895851275,2.836163815779656e-09,7.199999998116495,13.499999993316777,57.67694596558549
1,12,17.49,14.2075,0.0,0.944101275453,0.0,0.409155,1.346960782605667e-06,-1.581994886319352,5.046563547870214e-10,11.706697667485628,1.1728412380236133,1.352208850567966e-06,4.148130015808766e-12,4.175836751381078e-12,7.944444460620651,50.097998601841404
1,13,17.11,13.8475,0.0,0.887827670208,1.0,0.0,7.200000027515453,2.2000000711961127,5.677086458768798e-10,12.650798942434225,4.999999956512628,3.55767450338386e-08,4.582132497694094e-09,7.199999997282065,9.0000000723876,49.688843601841384
1,14,17.82,20.2925,0.0,0.863336747745,1.0,0.0,-3.475692078304923e-08,7.199999986548667,3.931199785753468e-10,13.538626612074758,3.951228924539668e-08,3.015636743844686e-08,2.061763846937977e-09,7.19999999835953,13.499999993719191,42.10989624063431
1,15,19.27,25.5475,0.18129807196875,0.839508511665,1.0,0.0,-4.999999986407655,6.431298079023001,2.9388596528051775e-10,14.401963359426869,4.99999998709895,4.049999996702204,1.5185565876171432e-09,7.1999999992638575,13.49999999577307,34.53094887589873
1,16,16.9,27.3575,0.9377999136,0.8260977976650001,0.0,0.51996,-5.519959996117672,0.40283990730271824,4.007205572646654e-10,15.241471870798193,4.999999996957628,4.984999991061807,4.303162980416214e-12,4.043782977899642e-12,13.499999987826142,26.95200150969518
1,17,24.89,42.965,1.7941746768750002,0.828898666638,0.0,0.43354,-0.4335400082708324,6.360634667404145,1.0705296683223762e-10,16.067569668062664,8.643279257837634e-09,4.999999999279679,3.968176391349206e-12,3.946998841839309e-12,12.461111106139303,26.432041509695196
1,18,33.35,35.645,2.1542272704,0.841574654352,0.0,0.463765,-0.46376499338347715,6.690462267250852,-8.545658160868857e-11,16.896468334593784,1.2348677233391535e-09,4.999999998000372,4.0297901215554596e-12,3.992249801773213e-12,6.905555559171629,25.998501509695213
1,19,24.26,17.65,2.3145971761687503,0.7818466750920001,1.0,0.0,13.564597168473467,8.564597177676847,3.624264967870421e-10,17.738042989031396,4.999999990832052,4.049999995545894,1.9623319071948695e-09,7.199999999119288,1.3500000069578448,25.534736509695225
1,20,19.06,5.825,2.7200560932,0.8166190154640001,1.0,0.0,13.970056084972708,1.7700560893845438,1.8822307460498315e-09,18.519889663761102,4.999999998559877,4.049999994652058,7.1999999959920205,7.199999997966714,1.3500000036555222,17.955789144065466
1,21,16.61,9.1375,2.20532877601875,0.8114507764979999,1.0,0.0,12.505328808024347,0.30532884302351676,1.1386757358091183e-09,19.33650867734298,4.999999996104029,3.1000000371640963,7.199999969770972,7.199999996854508,1.3500000083014907,17.216841773977265
1,22,17.1,4.46,1.7614369302749997,0.8483135904629999,1.0,0.0,13.961436889210601,1.7614368923907915,2.393024874915374e-09,20.1479594527024,4.999999998354749,4.999999962571898,7.199999996988514,7.199999997280259,2.4055555190570344,16.47789438014995
1,23,11.2,1.395,0.9535068324,0.8797395257460001,1.0,0.0,12.203506485450939,0.003506485676720568,4.951099815722576e-09,20.996273040772444,4.999999998021596,4.049999998601173,7.199999998174523,7.19999965582279,1.350000003607609,15.738947011731396
1,24,5.6,-1.985,0.139565693475,0.898444886943,1.0,0.0,10.687565686920834,-24.286891754914826,22.77445744850326,21.876012561567386,4.999999997599341,4.049999998038915,7.199999997689012,6.497999997362854,1.3500000033813655,15.000000003868944
2,1,8.79,-3.845,0.0,0.94531585674,1.0,0.0,12.199999993136027,-5.156106440827364e-09,1.6320818381999563e-10,-4.621755805119826e-13,4.999999999135493,4.999999998606211,7.19999999944314,7.199999994979485,6.749999999998894,39.999999999999936
2,2,4.56,-14.495,0.0,0.926458228251,1.0,0.0,4.999999981486758,-7.200000018060429,3.3701492148228864e-10,0.945315856575963,4.999999999707948,4.999999979429104,7.199999999768229,2.323524532076147e-09,5.694444445212712,39.26105263633457
2,3,3.89,-26.08,0.0,0.958633255056,1.0,0.0,3.0604325620045687e-07,-12.19999969507806,1.5077381848460115e-09,1.871774084489622,4.999999999860741,3.042541607071739e-07,7.199999999886311,1.9228829571251696e-09,4.6388889122496355,46.1010526336685
2,4,3.92,-30.36,0.0,0.965009907522,1.0,0.0,0.12499972041489499,-15.87041752271357,3.7954172434322433,2.83040733803758,4.9999999998909255,0.12499971858457215,7.199999999909874,1.935107863166829e-09,9.138888574062932,52.94105263153635
2,5,7.42,-27.265,0.0,0.995289293643,1.0,0.0,7.545034754810049,-5.650254540420405,0.9952892955506959,2.1269885103209817e-09,4.999999999889268,4.0500000004300665,7.199999999893221,3.4950347544824427,13.499999997758476,59.78105262941372
2,6,10.04,-5.3625,0.0,1.024849642761,1.0,0.0,11.24999999585631,-1.9748496447500288,1.0248496418443744,2.1916715117907209e-10,4.9999999995870725,4.0499999987327415,7.19999999952665,7.199999997475274,13.49999999718099,62.94206867722542
2,7,14.12,0.2249999999999999,0.0,0.992446492101,1.0,0.0,11.249999999184011,-1.9424464875518686,0.9924464886263461,1.1357199964000335e-09,4.99999999947934,4.050000000517891,7.199999999030506,7.199999999066437,13.499999998217422,62.20312131101223
2,8,16.75,4.79,0.0,1.031372382069,1.0,0.0,11.249999999157877,-0.9499999982526812,2.108061642100433e-09,4.610236062483806e-09,4.999999999312824,4.050000000282919,7.199999996470177,7.199999999355512,13.499999997173353,61.464173942652785
2,9,18.74,14.1675,0.0,0.967490390244,0.0,0.42512,4.0500000039719115,-1.3751199883121341,4.546973454152135e-10,1.0313723845711207,4.9999999932331916,4.0500000053761385,5.89685517021347e-12,5.6638216340461075e-12,13.499999996240472,60.725226571556725
2,10,19.43,19.5875,0.0,0.932020532286,1.0,0.0,3.9485156682531475e-08,12.199999976788355,3.3181246442552465e-10,1.9988627743604062,3.0853536435356425e-09,4.999999981204381,5.270434729085931e-10,7.199999999527449,13.499999984176746,60.30010657155665
2,11,19.01,24.37,0.0,0.921275178555,1.0,0.0,-3.1959777056824873e-09,12.199999994057118,3.3872391341033227e-10,2.930883306314597,3.5052903518861117e-09,4.999999998755195,5.416324137284084e-10,7.199999999686916,7.944444452281669,52.72115920413363
2,12,19.21,17.8075,0.0,0.829015555617,1.0,0.0,8.135000004885613,8.135000003159401,3.592669630330407e-10,3.8521584845308876,5.592273758774833e-09,0.9350000101879541,5.866070412790844e-10,7.199999999509063,2.3888889012636265,45.142211836556605
2,13,17.98,9.5225,0.0,0.707694937278,1.0,0.0,11.250000001817238,6.2500000007177645,7.80949302756494e-10,4.681174039788642,4.999999998723594,4.050000003095491,2.3141176465984773e-09,7.199999999441021,1.3500000060875652,37.56326446920952
2,14,13.17,2.64,0.0,0.632409052827,1.0,0.0,11.249999994305393,-0.9500000098690398,7.100272594714599e-09,5.3888689762857185,4.999999999237473,4.0499999959642174,7.199999998395408,7.199999998899925,1.3500000014992855,29.984317103575204
2,15,9.05,1.69,0.2388017115,0.581371613142,0.0,0.4907199999999999,0.23880171314779206,-11.854567914808388,6.6026496295743895,6.021278022012474,4.999999999215478,2.4822043903249536e-09,5.817316837409169e-12,5.5171587133554315e-12,1.3500000052971797,29.24536973478769
2,16,6.6,3.4275,0.8147618844750001,0.540768187644,0.0,0.57246,0.8147618836539633,-4.757698126448713,1.3206203669347279e-08,5.579859567398151e-09,4.9999999989639345,1.2467011123934188e-09,5.819275391503339e-12,5.6885806593633775e-12,5.850000001832918,28.754649734787623
2,17,11.73,2.9275,1.1811190419,0.5260705999049999,0.0,0.542415,2.3961190408911257,-4.213134733268334,1.0668387757905173,0.5407681800176046,4.9999999990498765,1.2149999996722347,5.8201036834038245e-12,5.7023528774171816e-12,10.34999999951506,28.182189734787563
2,18,27.78,15.315,1.593643819275,0.569047137366,0.0,0.7389,6.593643818139541,3.490546292867942,5.427952341067068e-10,4.1318316365805376e-09,2.3641975251798537,4.999999999316018,5.896769069912705e-12,5.6065563378480445e-12,13.49999999902393,27.639774734787498
2,19,15.72,63.01,1.252122635475,0.566526226749,0.0,1.23626,-1.236260017406574,5.015862617958281,5.204862208277968e-10,0.5690471409549431,1.6930706666123366e-08,4.999999999935558,5.870327436768838e-12,5.358588684817305e-12,10.072222216890054,26.900874734787436
2,20,7.85,43.355,1.87130250376875,0.582511988316,0.0,1.073265,-6.0732650010762255,0.7980375024087712,1.994712207342789e-09,1.1355733671834385,4.999999999173904,4.999999999809431,5.8556057603014354e-12,5.499861544446691e-12,4.516666676643545,25.664614734787367
2,21,4.57,37.1925,2.276184193875,0.612257029563,0.0,0.78561,-8.115952376556912,-0.8397681830775248,2.3303423772115694,1.7180853535047524,4.999999999454847,4.999999999714563,5.835922791911127e-12,5.543974796517228e-12,3.4611111205560814,24.591349734787304
2,22,10.68,25.825,1.94796125656875,0.634391853612,0.0,0.487845,-5.487844999557485,1.460116255756445,1.2913608008306947e-09,5.856013886809633e-09,4.99999999861954,4.9999999990991055,5.8741402642600424e-12,5.62201068229096e-12,2.4055555648269182,23.80573973478724
2,23,8.91,18.0675,1.10877305596875,0.64990891584,1.0,0.0,-5.000000003291576,7.358773058065787,2.0672914937575366e-09,0.6343918581766285,4.999999998896567,4.050000006598672,2.9846213447851275e-09,7.199999999447017,1.3500000090299218,23.317894734787178
