day,hour,da_price,rt_price,solar,flex_load,a_t,d_t,bid,rt_trade,flex_served,inv,b_ch,b_dis,e_ch,e_dis,soc_b,soc_e
1,1,11.11,-2.085,0.0,0.446949583455,1.0,0.0,11.539621357142767,-1.1073279104236955,0.4469492706793768,-3.725688381716818e-13,4.999999998636408,4.9999999889046665,7.199999999051453,6.539621369038816,6.749999999999777,40.00000000000004
1,2,10.81,-1.06,0.0,0.511191401628,1.0,0.0,5.0000000246754475,-7.199999988188647,1.6661338735742322e-08,3.1277423260386187e-07,4.999999998336881,4.999999986268311,7.199999998835967,3.937722489805965e-08,5.6944444555448905,39.95618803168968
1,3,9.61,-1.155,0.0,0.532142341731,1.0,0.0,4.99999982350159,-7.200000191194583,1.8624688780653314e-08,0.5111916977403584,4.99999999835665,4.999999814347667,7.199999998858553,1.0297637707161739e-08,4.638888913749743,46.79618798913418
1,4,9.14,0.0,0.0,0.560648443254,1.0,0.0,9.731537717889021e-08,-12.199999905624079,7.693138738778001e-09,1.0433340208463382,4.999999998222247,8.995830430308585e-08,7.199999998501243,8.83417563348519e-09,3.583333562995384,53.636187977210234
1,5,9.18,-0.8125,0.0,0.5754765101820001,1.0,0.0,1.0401785947677868e-07,-12.19999990471961,1.286668143136383e-08,1.6039824564069944,4.999999998265572,9.622670574224833e-08,7.199999998894109,9.079947684061766e-09,8.083333461441706,60.47618796648732
1,6,9.48,-0.6825,0.0,0.569702031174,1.0,0.0,3.2250000301576165,-8.974999977488245,1.1674318805666544e-08,2.179458953722194,4.999999998285643,3.2250000212890884,7.199999998938302,1.0120980991199237e-08,12.583333352962118,67.3161879558789
1,7,13.59,3.1725,0.0,0.683217651153,0.0,0.5824,4.050000021540149,-1.5323999782113822,2.7808312838461054e-09,2.7491609732218207,4.999999998168479,4.050000022738245,4.248396487232278e-12,4.043077453240673e-12,13.499999994431054,74.15618794421663
1,8,14.01,11.925,0.0,0.572667015441,1.0,0.0,7.2000000732280505,7.199999994377385,6.892629883874019e-10,3.43237862159398,7.745172265546117e-08,8.922777929143114e-08,9.211898099473953e-09,7.199999992502463,13.499999967517784,73.57378794421656
1,9,14.51,12.755,0.0,0.530632163001,1.0,0.0,7.200000578189787,7.200000546242401,6.163401625046246e-10,4.0050456363457405,3.296814036655625e-08,5.950513069725183e-07,8.566296002637724e-09,7.199999993341578,13.499999938082203,65.99484059243888
1,10,14.55,8.6325,0.0,0.521858895945,1.0,0.0,11.249999369951237,-0.9500006105519423,9.310778337709904e-10,4.535677798730445,4.999999994742747,4.049999377664789,7.199999987463089,7.199999994920435,13.499999306585236,58.415893239164596
1,11,16.85,19.3675,0.0,0.6104325294540001,1.0,0.0,-8.519218691304246e-09,12.199999972052085,3.8530588416317783e-10,5.057536693744426,1.2294478311258753e-08,4.9999999894037925,2.7947281262449678e-09,7.19999999812166,13.499999993337328,57.67694586418028
1,12,17.49,14.2075,0.0,0.486351971187,0.0,0.409155,3.667472724006571e-07,-1.581994648264656,5.219819713902988e-10,5.667969222813188,1.1728400196287354,3.7188579659486433e-07,4.1145061338546286e-12,4.170164465322456e-12,7.94444446062058,50.0979985003913
1,13,17.11,13.8475,0.0,0.432148149474,1.0,0.0,7.2000000230393715,2.200000063745848,5.400319709449562e-10,6.15432119347828,4.999999959777932,3.183626925281247e-08,4.223870086319056e-09,7.199999996451805,9.000000065080188,49.688843500391194
1,14,17.82,20.2925,0.0,0.405602405742,1.0,0.0,-3.326692109559403e-08,7.1999999868799875,3.0508347708531154e-10,6.586469342412325,3.7993105808684985e-08,2.8763132859756093e-08,2.039753159424116e-09,7.199999998454862,13.49999999350686,42.10989613971764
1,15,19.27,25.5475,0.18129807196875,0.3855012973889999,1.0,0.0,-4.999999986145598,6.431298079812946,2.1646314907239285e-10,6.992071747849319,4.999999986904892,4.049999997060744,1.478509922600326e-09,7.199999999384046,13.499999995741371,34.53094877486071
1,16,16.9,27.3575,0.9377999136,0.3754462415969999,0.0,0.51996,-5.5199599966024495,0.4028399094174332,3.211085558610474e-10,7.377573045021931,4.99999999748616,4.984999993626026,4.4107497318398375e-12,3.899791738964436e-12,13.499999987221106,26.95200140849252
1,17,24.89,42.965,1.7941746768750002,0.361082599776,0.0,0.43354,-0.433540009679795,6.360634665960353,6.871759974218076e-11,7.753019286297895,1.0085616595706627e-08,4.999999999240821,4.1234071298350695e-12,3.7125157094743134e-12,12.461111103160066,26.432041408492452
1,18,33.35,35.645,2.1542272704,0.45333022491,0.0,0.463765,-0.4637649934828677,6.690462267085873,-1.368860687726974e-10,8.114101886005244,1.2727795958643574e-09,4.999999997822692,4.22296457153164e-12,3.801140236356962e-12,6.905555557532903,25.998501408492388
1,19,24.26,17.65,2.3145971761687503,0.348074045007,1.0,0.0,13.564597167158256,8.564597176668007,2.954641205069548e-10,8.56743211105219,4.999999990611479,4.049999994041646,1.905654129064837e-09,7.199999999270698,1.3500000055499235,25.53473640849232
1,20,19.06,5.825,2.7200560932,0.3354655164839999,1.0,0.0,13.970056084890569,1.7700560892822645,1.668164462153018e-09,8.915506155763776,4.999999998606075,4.049999994627648,7.199999996135835,7.199999997864862,1.3500000037201902,17.95578904264926
1,21,16.61,9.1375,2.20532877601875,0.335416915818,1.0,0.0,12.505328807191596,0.3053288678897936,1.027029354814538e-09,9.250971670579656,4.99999999619524,3.1000000363559894,7.199999944053516,7.199999996791112,1.3500000084346389,17.216841672804815
1,22,17.1,4.46,1.7614369302749997,0.352122793293,1.0,0.0,13.961436890254197,1.7614368935460258,2.193915117771063e-09,9.58638858537066,4.99999999838224,4.999999963485032,7.199999997001734,7.199999997364013,2.405555520169982,16.477894254612565
1,23,11.2,1.395,0.9535068324,0.374220048147,1.0,0.0,12.20350636584043,0.003506366400162031,4.571216138446316e-09,9.938511376469764,4.999999998124596,4.049999998781168,7.1999999980709966,7.199999535985845,1.3500000037305298,15.73894688611839
