day,hour,flexible_load,inflexible_load,total_load
1,1,0.0900132252544,0.39801230789941,0.48802553315381003
1,2,0.0546786336004,0.34699110675104,0.40166974035144
1,3,0.0469177740916,0.3317587012828,0.37867647537439997
1,4,0.0501702875216,0.3266644158713,0.37683470339290004
1,5,0.0790928370746,0.3170770263887,0.3961698634633
1,6,0.208453015031,0.34923542627680004,0.5576884413078
1,7,0.449206610506,0.43325653081914,0.88246314132514
1,8,0.504450420882,0.5232786203656,1.0277290412476
1,9,0.472340859909,0.4719020077264,0.9442428676354
1,10,0.410086138542,0.37575161539174,0.78583775393374
1,11,0.3466613172,0.36778132694218,0.7144426441421801
1,12,0.293374152236,0.36697262298858,0.66034677522458
1,13,0.252738532353,0.36384937851298,0.61658791086598
1,14,0.227509192247,0.37080461084888006,0.5983138030958801
1,15,0.205946460453,0.38518887168493,0.59113533213793
1,16,0.211103158179,0.41562529149086996,0.62672844966987
1,17,0.243931504889,0.521561335612,0.765492840501
1,18,0.311535559402,0.7036040404196,1.0151395998216
1,19,0.372522058798,0.835793875169,1.208315933967
1,20,0.382828602633,0.8596729387506,1.2425015413836
1,21,0.349723084851,0.823959118656,1.173682203507
1,22,0.305942890373,0.7629333881122999,1.0688762784852999
1,23,0.243204437185,0.6346291933807,0.8778336305657
1,24,0.170687927333,0.5206230623883,0.6913109897213
2,1,0.0842489030401,0.39768386913341003,0.48193277217351005
2,2,0.051895718151,0.34679107843314005,0.3986867965841401
2,3,0.044422129122,0.3316392497013,0.3760613788233
2,4,0.047553428551,0.326564483187,0.37411791173799996
2,5,0.0740136652414,0.3169161506822,0.39092981592360004
2,6,0.192999141762,0.3489353023252,0.5419344440872
2,7,0.413812723901,0.43265616809904,0.84646889200004
2,8,0.463967485879,0.5221342467881,0.9861017326671
2,9,0.432303920106,0.4700481021116,0.9023520222176
2,10,0.374856742425,0.37360610397644,0.74846284640144
2,11,0.3173814648,0.36576422597498,0.68314569077498
2,12,0.269511753867,0.36520581851398004,0.63471757238098
2,13,0.232243201856,0.36228288012248,0.59452608197848
2,14,0.209980347475,0.36930104922798,0.57928139670298
2,15,0.190146215209,0.38390513504543,0.57405135025443
2,16,0.195000172579,0.41442213158776997,0.6094223041667699
2,17,0.223260546172,0.5203080704836001,0.7435686166556
2,18,0.285671554612,0.7022441552539,0.9879157098659
2,19,0.337746605552,0.8340028520097,1.1717494575617
2,20,0.34326619412,0.8576076176774,1.2008738117974
2,21,0.312061245024,0.8221289428852,1.1341901879092
2,22,0.274742432367,0.7614079817666,1.0361504141336
2,23,0.218030070841,0.6336021751912,0.8516322460322
2,24,0.15451438823,0.5199963786009,0.6745107668308999
3,1,0.0839934871851,0.39768386913341003,0.48167735631851005
3,2,0.0514585791829,0.34679107843314005,0.39824965761604003
3,3,0.0441192338008,0.3316392497013,0.3757584835021
3,4,0.0472582820617,0.326564483187,0.3738227652487
3,5,0.0736985229547,0.3169161506822,0.39061467363690006
3,6,0.192866293842,0.3489353023252,0.5418015961672
3,7,0.41386557541,0.43265616809904,0.84652174350904
3,8,0.463800363217,0.5221342467881,0.9859346100051001
3,9,0.431981693305,0.4700481021116,0.9020297954166
3,10,0.374737049425,0.37360610397644,0.74834315340144
3,11,0.317402933851,0.36576422597498,0.68316715982598
3,12,0.26953356707,0.36520581851398004,0.63473938558398
3,13,0.232146719259,0.36228288012248,0.59442959938148
3,14,0.210002167942,0.36930104922798,0.57930321716998
3,15,0.190066866189,0.38390513504543,0.57397200123443
3,16,0.194884158074,0.41442213158776997,0.60930628966177
3,17,0.223185814081,0.5203080704836001,0.7434938845646001
3,18,0.285290442867,0.7022441552539,0.9875345981209
3,19,0.337445291503,0.8340028520097,1.1714481435127
3,20,0.343145193707,0.8576076176774,1.2007528113844
3,21,0.311983508794,0.8221289428852,1.1341124516792
3,22,0.274671209215,0.7614079817666,1.0360791909815998
3,23,0.217809729307,0.6336021751912,0.8514119044982
3,24,0.154313854011,0.5199963786009,0.6743102326118999
4,1,0.0835764298421,0.39768386913341003,0.48126029897551004
4,2,0.0509750576737,0.34679107843314005,0.3977661361068401
4,3,0.043714090736,0.3316392497013,0.3753533404373
4,4,0.0467723261972,0.326564483187,0.3733368093842
4,5,0.0731805389363,0.3169161506822,0.3900966896185
4,6,0.192524785327,0.3489353023252,0.5414600876522
4,7,0.413584580755,0.43265616809904,0.84624074885404
4,8,0.463220993668,0.5221342467881,0.9853552404561001
4,9,0.431836016949,0.4700481021116,0.9018841190606
4,10,0.374717514926,0.37360610397644,0.74832361890244
