day,hour,flexible_load,inflexible_load,total_load
1,1,0.0962585356377,0.39882565769964,0.49508419333734
1,2,0.1150934040795,0.34761894538261,0.46271234946211004
1,3,0.1191918773688,0.33232188803788004,0.45151376540668003
1,4,0.1259271861465,0.32722177914837997,0.45314896529487997
1,5,0.1290902888169,0.31761898171278,0.44670927052968
1,6,0.1241813954049,0.34982287752488,0.47400427292978
1,7,0.1523762352951,0.43410635089241,0.58648258618751
1,8,0.1205426926707,0.5245188912219,0.6450615838925999
1,9,0.1105775240679,0.4730292761304,0.5836068001983
1,10,0.11115435688949998,0.37648229680401,0.48763665369351
1,11,0.1039294111356,0.36846131441401997,0.47239072554961997
1,12,0.0958869295104,0.36765273178342006,0.46353966129382007
1,13,0.088790994063,0.36452281457182,0.45331380863482
1,14,0.0855706495305,0.37149151370172,0.45706216323222004
1,15,0.082416968196,0.38591343670765,0.46833040490364997
1,16,0.0808116050715,0.41644825589415,0.49725986096565
1,17,0.0770444108931,0.5227205517832001,0.5997649626763001
1,18,0.1330200394512,0.7054155373067,0.8384355767579
1,19,0.0733295670897,0.8382287036295,0.9115582707191999
1,20,0.0638170056906,0.8622349977857,0.9260520034763
1,21,0.0614858446674,0.8262919234648,0.8877777681322
1,22,0.0648273507051,0.7649945793468,0.8298219300519001
1,23,0.07099496119109999,0.6362631297195,0.7072580909106001
1,24,0.0777090819624,0.521860274511,0.5995693564734
2,1,0.0865324268133,0.39849721893364,0.48502964574693996
2,2,0.0902075706501,0.34741891706471006,0.43762648771481005
2,3,0.0951437513931,0.33220243645638003,0.42734618784948003
2,4,0.09721256319419999,0.32712184646408,0.42433440965827995
2,5,0.10140522654689998,0.31745810600628,0.41886333255318
2,6,0.1026593510919,0.34952275357328,0.45218210466518
2,7,0.09274047433829999,0.43350598817231,0.52624646251061
2,8,0.1208951544954,0.5233745176444,0.6442696721398
2,9,0.0961121223297,0.4711753705156,0.5672874928453
2,10,0.0897476294988,0.37433678538871,0.46408441488751
2,11,0.0820112428602,0.36644421344682,0.44845545630702
2,12,0.07653975483,0.36588592730882,0.44242568213882005
2,13,0.0650555836629,0.36295631618132,0.42801189984422
2,14,0.0561186968364,0.36998795208082,0.42610664891722005
2,15,0.0506334251889,0.38462970006815,0.43526312525705
2,16,0.0461763751962,0.41524509599105,0.46142147118724997
2,17,0.0418065486579,0.5214672866548,0.5632738353127
2,18,0.08754458649630001,0.704055652141,0.7916002386373
2,19,0.0442198283853,0.8364376804702001,0.8806575088555001
