day,hour,flexible_load,inflexible_load,total_load
1,1,9.681851963349,0.8654366637690001,10.547288627118
1,2,10.556003165713,0.7024320558497,11.2584352215627
1,3,11.722129107275899,0.6390594922522,12.361188599528099
1,4,12.774123328286299,0.6225955791091,13.3967189073954
1,5,13.407086264341,0.6195091163021,14.0265953806431
1,6,14.354937242673,0.6854621692456999,15.040399411918699
1,7,14.397455679499,0.9654297865867,15.3628854660857
1,8,15.693259053293,1.3531649437256998,17.0464239970187
1,9,9.947283129253998,1.327221836636,11.274504965889998
1,10,6.463358715071401,1.1113210297737002,7.574679744845101
1,11,5.099240461551401,1.1032176436364,6.202458105187801
1,12,2.7172301196854,1.1241382478554,3.8413683675408
1,13,0.74628496925126,1.1013485991854,1.84763356843666
1,14,0.378839398314,1.0713502082194002,1.4501896065334001
1,15,0.342405838399,1.0715357581887,1.4139415965877
1,16,0.347211309988,1.1589472059683,1.5061585159563
1,17,0.395558665641,1.483773625599,1.87933229124
1,18,1.02034422636182,2.089718739812,3.11006296617382
1,19,2.4691589457388,2.4898980041670002,4.959056949905801
1,20,3.6772234873537997,2.489832970087,6.1670564574407996
1,21,4.0357619913348,2.293989373837,6.3297513651718
1,22,6.1324687245068,2.078215740803,8.2106844653098
1,23,6.660808555911,1.672113346112,8.332921902023
1,24,8.378862660325002,1.2661774621783,9.645040122503302
2,1,8.441896629595,0.857767366874,9.299663996469
2,2,10.834813124929699,0.6978271944509,11.532640319380599
2,3,11.0508092336,0.6360130474316,11.686822281031601
2,4,12.0817706580035,0.6210026075863,12.7027732655898
2,5,12.980797335849,0.6163927681064,13.597190103955398
2,6,14.319067456456,0.6806826945787,14.9997501510347
2,7,15.721161451151,0.9530333557337001,16.6741948068847
2,8,15.36668754836,1.3284766882987,16.695164236658698
2,9,11.451972105816,1.289378319146,12.741350424961999
2,10,9.856413589567,1.0587847951537,10.9151983847207
2,11,8.840414679934,1.0438153763834,9.8842300563174
2,12,6.4542548069448,1.0629013619734,7.517156168918199
2,13,4.6815797098624,1.0455696756144,5.7271493854768
2,14,4.9169710190161995,1.0204975037974,5.9374685228135995
2,15,3.0800158423648,1.0258892574737,4.1059050998385
2,16,3.0684779703464,1.1157117377823,4.1841897081287
2,17,3.9528234492022,1.441869386627,5.3946928358292
2,18,4.768158904219999,2.0484748213720003,6.816633725591999
2,19,4.1600865469792,2.4498693028489997,6.6099558498282
2,20,4.1567976422004005,2.449880757007,6.6066783992074
2,21,3.9150332630904003,2.253324775266,6.1683580383564
2,22,4.0098730830662,2.03667440723,6.0465474902962
2,23,4.0196748674174,1.6391045989620001,5.6587794663794
2,24,4.402748301327801,1.2480534760033,5.6508017773311
3,1,4.984391716807,0.857767366874,5.8421590836810005
3,2,5.428370407328499,0.6978271944509,6.126197601779399
3,3,5.2240800179928,0.6360130474316,5.8600930654244
3,4,5.1070036926596005,0.6210026075863,5.728006300245901
3,5,5.009260524432401,0.6163927681064,5.625653292538801
3,6,4.913874608145201,0.6806826945787,5.594557302723901
3,7,5.408796282133599,0.9530333557337001,6.361829637867299
3,8,4.4307484620306,1.3284766882987,5.7592251503293
3,9,4.9752474569456,1.289378319146,6.2646257760916
3,10,6.6178399214518,1.0587847951537,7.676624716605501
3,11,5.74269694732,1.0438153763834,6.7865123237034
3,12,3.0626060316568005,1.0629013619734,4.1255073936302
3,13,3.7580071185221997,1.0455696756144,4.8035767941366
3,14,4.788788346361399,1.0204975037974,5.809285850158799
3,15,5.9465371469934,1.0258892574737,6.9724264044671
3,16,6.1155267809056,1.1157117377823,7.2312385186879
3,17,6.3074143754545995,1.441869386627,7.7492837620816
3,18,7.320194159268999,2.0484748213720003,9.368668980640999
3,19,6.5736168215564,2.4498693028489997,9.0234861244054
3,20,6.4955046445508,2.449880757007,8.9453854015578
3,21,6.614156077343001,2.253324775266,8.867480852609
3,22,6.982399629320001,2.03667440723,9.01907403655
3,23,8.022407226407,1.6391045989620001,9.661511825368999
3,24,8.86769717932,1.2480534760033,10.1157506553233
4,1,9.841583955893999,0.857767366874,10.699351322767999
4,2,10.154744647138498,0.6978271944509,10.852571841589398
4,3,11.855480914625598,0.6360130474316,12.491493962057199
4,4,12.0436463581291,0.6210026075863,12.6646489657154
4,5,12.178744024173,0.6163927681064,12.795136792279399
4,6,12.901763233370001,0.6806826945787,13.5824459279487
4,7,12.826855281915,0.9530333557337001,13.7798886376487
4,8,14.351661792789,1.3284766882987,15.6801384810877
4,9,12.751724618432,1.289378319146,14.041102937578
4,10,11.744957289292001,1.0587847951537,12.803742084445702
4,11,10.217998757519998,1.0438153763834,11.261814133903398
4,12,7.965725897528,1.0629013619734,9.0286272595014
4,13,6.3444780367646,1.0455696756144,7.390047712378999
4,14,4.6456626997408,1.0204975037974,5.6661602035382
4,15,3.6796030057364,1.0258892574737,4.7054922632101
4,16,2.7225457049584,1.1157117377823,3.8382574427406997
4,17,3.0940944251708,1.441869386627,4.5359638117978
4,18,5.829356180646401,2.0484748213720003,7.877831002018401
4,19,6.094028693238,2.4498693028489997,8.543897996087
4,20,6.746348887176,2.449880757007,9.196229644183
4,21,7.719409027308999,2.253324775266,9.972733802575
4,22,7.971870870255,2.03667440723,10.008545277485
4,23,8.551060656017,1.6391045989620001,10.190165254979
4,24,9.799399270332,1.2480534760033,11.0474527463353
5,1,11.471314660750998,0.857767366874,12.329082027624999
5,2,13.058863579259999,0.6978271944509,13.756690773710899
5,3,13.7779623205613,0.6360130474316,14.4139753679929
5,4,14.3294499955818,0.6210026075863,14.9504526031681
5,5,15.192841894575,0.6163927681064,15.8092346626814
5,6,16.543865533024,0.6806826945787,17.2245482276027
5,7,16.285328602737998,0.9530333557337001,17.2383619584717
5,8,14.469929938839,1.3284766882987,15.7984066271377
5,9,11.437767608543,1.289378319146,12.727145927689
5,10,9.055279620898,1.0587847951537,10.1140644160517
5,11,7.476595448358999,1.0438153763834,8.520410824742399
5,12,4.2192105817198,1.0629013619734,5.2821119436932
5,13,2.5865536511724003,1.0455696756144,3.6321233267868003
5,14,1.1188157606922,1.0204975037974,2.1393132644896
5,15,0.31658080446,1.0258892574737,1.3424700619337
5,16,0.321522948766,1.1157117377823,1.4372346865483001
5,17,0.363381427815,1.441869386627,1.805250814442
5,18,1.8640013238284001,2.0484748213720003,3.9124761452004004
5,19,1.5322946947291998,2.4498693028489997,3.9821639975781995
5,20,2.4608104037988,2.449880757007,4.910691160805801
5,21,2.967803737252,2.253324775266,5.221128512518
5,22,3.8923372511078,2.03667440723,5.929011658337799
5,23,5.3734308498362005,1.6391045989620001,7.0125354487982
5,24,7.100083522533,1.2480534760033,8.3481369985363
6,1,6.871422871091999,0.857767366874,7.729190237966
6,2,6.3849343113681,0.6978271944509,7.082761505819
6,3,6.829618536002299,0.6360130474316,7.4656315834338995
6,4,7.4837687956152,0.6210026075863,8.1047714032015
6,5,7.957373028726,0.6163927681064,8.573765796832399
6,6,8.304527729451001,0.6806826945787,8.9852104240297
6,7,8.451354870398,0.9530333557337001,9.4043882261317
6,8,9.506850886489,1.3284766882987,10.8353275747877
6,9,7.456250451065,1.289378319146,8.745628770211
6,10,6.2562071031774,1.0587847951537,7.314991898331099
6,11,5.0449798948016,1.0438153763834,6.088795271184999
6,12,2.8199486203744,1.0629013619734,3.8828499823477998
6,13,1.2807267053556,1.0455696756144,2.3262963809699997
6,14,0.6843083437886,1.0204975037974,1.704805847586
6,15,0.315882768157,1.0258892574737,1.3417720256307
6,16,0.320220025035,1.1157117377823,1.4359317628173
6,17,0.361600356419,1.441869386627,1.803469743046
6,18,0.451062472253,2.0484748213720003,2.4995372936250004
6,19,0.535006995814,2.4498693028489997,2.984876298663
6,20,0.550125697583,2.449880757007,3.0000064545900003
6,21,0.501291883254,2.253324775266,2.75461665852
6,22,0.51820107513904,2.03667440723,2.55487548236904
6,23,1.1435901668318,1.6391045989620001,2.7826947657938
6,24,1.8687002173182,1.2480534760033,3.1167536933215
7,1,2.4712888276231997,0.8654366637690001,3.3367254913921998
7,2,2.9028316966115004,0.7024320558497,3.6052637524612003
7,3,3.3136788371075,0.6390594922522,3.9527383293597
7,4,3.6871336227111997,0.6225955791091,4.3097292018203
7,5,4.0589294041028,0.6195091163021,4.6784385204049
7,6,4.3641293000350005,0.6854621692456999,5.049591469280701
7,7,4.4820510651868,0.9654297865867,5.4474808517735
7,8,5.1480552929889996,1.3531649437256998,6.501220236714699
7,9,4.0812461926532,1.327221836636,5.4084680292892005
7,10,3.5209485859026,1.1113210297737002,4.6322696156763
7,11,2.9551273211725997,1.1032176436364,4.058344964809
7,12,1.9774647631616,1.1241382478554,3.101603011017
7,13,1.00562431736184,1.1013485991854,2.1069729165472397
7,14,0.380978697493,1.0713502082194002,1.4523289057124003
7,15,0.343949696996,1.0715357581887,1.4154854551847
7,16,0.348265112996,1.1589472059683,1.5072123189642999
7,17,0.396391260184,1.483773625599,1.880164885783
7,18,0.493570278325,2.089718739812,2.583289018137
7,19,0.590465664749,2.4898980041670002,3.080363668916
7,20,0.611970797055,2.489832970087,3.101803767142
7,21,0.559914639073,2.293989373837,2.8539040129099997
7,22,0.490865264188,2.078215740803,2.569081004991
7,23,0.387304342643,1.672113346112,2.059417688755
7,24,0.272397704239,1.2661774621783,1.5385751664173
8,1,0.7388284836376999,0.8654366637690001,1.6042651474067
8,2,1.5266115904585,0.7024320558497,2.2290436463082
8,3,2.1525194142662,0.6390594922522,2.7915789065184
8,4,2.4461371340118996,0.6225955791091,3.0687327131209994
8,5,2.8145129058806,0.6195091163021,3.4340220221827
8,6,2.9623449906811996,0.6854621692456999,3.6478071599268995
8,7,3.200737478715,0.9654297865867,4.1661672653016995
8,8,4.0634796006128,1.3531649437256998,5.416644544338499
8,9,3.7417255609746,1.327221836636,5.0689473976106
8,10,3.4536598999986,1.1113210297737002,4.5649809297723
8,11,3.4695328507354,1.1032176436364,4.5727504943718
8,12,2.1402635726182,1.1241382478554,3.2644018204736
