day,hour,flexible_load,inflexible_load,total_load
1,1,1.076828319723,0.825802954003,1.902631273726
1,2,1.176357954717,0.6675247875787,1.8438827422957
1,3,1.164596241537,0.6053080823084,1.7699043238454
1,4,1.215915893109,0.5892917112243,1.8052076043333
1,5,1.231731622134,0.5873893701123001,1.8191209922463
1,6,1.196438696775,0.6498460007269,1.8462846975019
1,7,1.250909438937,0.9220385166527,2.1729479555897
1,8,1.1847069408720001,1.3026427059935999,2.4873496468656002
1,9,1.1051968836,1.283477851644,2.388674735244
1,10,1.101779169486,1.0770857244437,2.1788648939297
1,11,1.079064696768,1.0690659635913,2.1481306603593
1,12,0.944101275453,1.0899772440183,2.0340785194713
1,13,0.887827670208,1.0677004039562998,1.9555280741642997
1,14,0.863336747745,1.0366670719813,1.9000038197263
1,15,0.839508511665,1.0349133441597,1.8744218558247
1,16,0.8260977976650001,1.1195280164823,1.9456258141473002
1,17,0.828898666638,1.4347148628589999,2.263613529497
1,18,0.841574654352,2.024840203606,2.8664148579579996
1,19,0.7818466750920001,2.413330177709,3.1951768528010005
1,20,0.8166190154640001,2.410160724054,3.2267797395180002
1,21,0.8114507764979999,2.21573309318,3.027183869678
1,22,0.8483135904629999,2.004629451795,2.852943042258
1,23,0.8797395257460001,1.610394781157,2.490134306903
1,24,0.898444886943,1.2149372212693001,2.1133821082123
2,1,0.94531585674,0.818133657108,1.763449513848
2,2,0.9264582282509999,0.6629199261799,1.5893781544309
2,3,0.9586332550559999,0.6022616374878,1.5608948925438
2,4,0.965009907522,0.5876987397015,1.5527086472235
2,5,0.995289293643,0.5842730219166,1.5795623155596
2,6,1.024849642761,0.6450665260599,1.6699161688209
2,7,0.992446492101,0.9096420857997,1.9020885779007
2,8,1.031372382069,1.2779544505665998,2.3093268326356
2,9,0.9674903902440001,1.245634334154,2.213124724398
2,10,0.932020532286,1.0245494898237,1.9565700221097
2,11,0.9212751785550001,1.0096636963383,1.9309388748933003
2,12,0.829015555617,1.0287403581363,1.8577559137533
2,13,0.707694937278,1.0119214803853,1.7196164176633002
2,14,0.632409052827,0.9858143675593,1.6182234203863
2,15,0.581371613142,0.9892668434447,1.5706384565867
2,16,0.540768187644,1.0762925482963,1.6170607359403
2,17,0.5260705999049999,1.392810623887,1.9188812237919999
2,18,0.569047137366,1.983596285166,2.5526434225320003
2,19,0.566526226749,2.373301476391,2.93982770314
2,20,0.582511988316,2.370208510974,2.95272049929
2,21,0.612257029563,2.175068494609,2.787325524172
2,22,0.634391853612,1.9630881182220001,2.5974799718340003
2,23,0.64990891584,1.577386034007,2.227294949847
2,24,0.685545080499,1.1968132350943002,1.8823583155933001
3,1,0.712604054886,0.818133657108,1.530737711994
3,2,0.749819562999,0.6629199261799,1.4127394891789
3,3,0.762394824477,0.6022616374878,1.3646564619648
3,4,0.807041038038,0.5876987397015,1.3947397777394999
3,5,0.923805061452,0.5842730219166,1.5080780833686
3,6,0.9252593556869999,0.6450665260599,1.5703258817469
3,7,1.0487906053709999,0.9096420857997,1.9584326911707
3,8,0.9966870015389999,1.2779544505665998,2.2746414521056
3,9,0.924466300308,1.245634334154,2.170100634462
3,10,0.6905217084899999,1.0245494898237,1.7150711983137
3,11,0.596259160506,1.0096636963383,1.6059228568443
3,12,0.36569600298,1.0287403581363,1.3944363611163
3,13,0.18634659967470002,1.0119214803853,1.19826808006
3,14,0.0449839223238,0.9858143675593,1.0307982898831
3,15,0.0,0.9892668434447,0.9892668434447
3,16,0.0,1.0762925482963,1.0762925482963
3,17,0.0,1.392810623887,1.392810623887
3,18,0.0,1.983596285166,1.983596285166
3,19,0.033247802223,2.373301476391,2.406549278614
3,20,0.1139173745532,2.370208510974,2.4841258855271997
3,21,0.33867389414399995,2.175068494609,2.513742388753
3,22,0.422979283515,1.9630881182220001,2.3860674017370003
3,23,0.5212954250940001,1.577386034007,2.098681459101
3,24,0.6471834843419999,1.1968132350943002,1.8439967194363
4,1,0.802062955518,0.818133657108,1.6201966126260001
4,2,0.8805894985589999,0.6629199261799,1.5435094247388998
4,3,0.96305831397,0.6022616374878,1.5653199514578
4,4,1.002180219894,0.5876987397015,1.5898789595955
4,5,1.028294692962,0.5842730219166,1.6125677148786002
4,6,0.981039163329,0.6450665260599,1.6261056893889
4,7,0.9812419580849999,0.9096420857997,1.8908840438846999
4,8,0.8703850786980001,1.2779544505665998,2.1483395292646
4,9,0.8869930301819999,1.245634334154,2.132627364336
4,10,0.951381999786,1.0245494898237,1.9759314896097
4,11,0.898565983953,1.0096636963383,1.9082296802913001
4,12,0.8082242552700001,1.0287403581363,1.8369646134063
4,13,0.778926094905,1.0119214803853,1.7908475752903001
4,14,0.753063004923,0.9858143675593,1.7388773724823001
4,15,0.665279331045,0.9892668434447,1.6545461744896999
4,16,0.630818718525,1.0762925482963,1.7071112668213
4,17,0.6769357423469999,1.392810623887,2.069746366234
4,18,0.752698471365,1.983596285166,2.736294756531
4,19,0.671593025829,2.373301476391,3.04489450222
4,20,0.698566931463,2.370208510974,3.068775442437
4,21,0.744390656424,2.175068494609,2.919459151033
4,22,0.747226386744,1.9630881182220001,2.710314504966
4,23,0.779714845755,1.577386034007,2.357100879762
4,24,0.8162593910760001,1.1968132350943002,2.0130726261703002
5,1,0.8140031271600001,0.818133657108,1.6321367842680001
5,2,0.8288003632559999,0.6629199261799,1.4917202894359
5,3,0.8386267457009999,0.6022616374878,1.4408883831888
5,4,0.833022152814,0.5876987397015,1.4207208925155
5,5,0.7881566275680001,0.5842730219166,1.3724296494846002
